Date,Open,High,Low,Close*,Adj Close**,Volume
19/07/2023,75.35,76.15,74.72,75.63,75.63,"340,962"
18/07/2023,75.84,76.97,75.07,75.35,75.35,"92,920"
17/07/2023,74.18,75.96,73.88,75.75,75.75,"125,092"
16/07/2023,75.02,76.09,73.84,74.15,74.15,"244,785"
13/07/2023,77.16,77.30,75.11,75.42,75.42,"299,576"
12/07/2023,75.85,77.33,75.32,76.89,76.89,"379,728"
11/07/2023,74.83,76.15,74.67,75.75,75.75,"352,887"
10/07/2023,73.19,74.96,72.98,74.83,74.83,"326,883"
09/07/2023,73.86,74.15,72.67,72.99,72.99,"301,014"
06/07/2023,71.89,73.92,71.19,73.86,73.86,"362,632"
05/07/2023,71.80,72.34,70.22,71.80,71.80,"395,381"
04/07/2023,70.15,72.17,69.90,71.79,71.79,"456,809"
03/07/2023,70.45,71.77,69.69,69.79,69.79,"303,479"
29/06/2023,69.82,71.04,69.53,70.64,70.64,"299,873"
28/06/2023,69.25,70.60,68.93,69.86,69.86,"292,865"
27/06/2023,68.01,69.73,67.05,69.56,69.56,"368,295"
26/06/2023,69.49,70.15,67.50,67.70,67.70,"384,752"
25/06/2023,69.84,70.11,68.71,69.37,69.37,"280,116"
22/06/2023,69.53,69.65,67.35,69.16,69.16,"322,475"
21/06/2023,72.43,72.65,68.93,69.51,69.51,"421,348"
20/06/2023,70.90,72.72,70.80,72.53,72.53,"264,656"
19/06/2023,71.45,72.09,69.65,70.50,70.50,"430,492"
15/06/2023,70.55,71.89,69.95,71.78,71.78,"99,185"
14/06/2023,68.70,70.96,67.97,70.62,70.62,"115,613"
13/06/2023,69.35,70.49,68.07,68.27,68.27,"304,449"
12/06/2023,67.31,69.83,67.15,69.42,69.42,"366,354"
11/06/2023,70.27,70.33,66.80,67.12,67.12,"404,769"
08/06/2023,70.94,71.77,70.10,70.17,70.17,"300,724"
07/06/2023,72.47,73.28,69.03,71.29,71.29,"485,396"
06/06/2023,71.56,73.19,71.01,72.53,72.53,"299,127"
05/06/2023,71.99,72.33,70.13,71.74,71.74,"314,962"
04/06/2023,75.03,75.06,71.73,72.15,72.15,"383,943"
01/06/2023,70.21,72.17,70.00,71.74,71.74,"322,596"
31/05/2023,67.60,71.07,67.51,70.10,70.10,"395,393"
30/05/2023,69.62,69.69,67.03,68.09,68.09,"444,787"
29/05/2023,73.23,73.55,69.02,69.46,69.46,"440,862"
25/05/2023,71.89,73.05,71.49,72.67,72.67,"261,498"
24/05/2023,74.21,74.37,70.98,71.83,71.83,"422,637"
23/05/2023,73.77,74.73,73.13,74.34,74.34,"386,611"
22/05/2023,72.10,73.79,71.71,72.91,72.91,"317,586"
21/05/2023,71.70,72.36,70.55,71.99,71.99,"263,977"
18/05/2023,71.94,73.40,71.03,71.55,71.55,"69,949"
17/05/2023,72.75,72.87,71.42,71.86,71.86,"80,864"
16/05/2023,70.60,73.26,70.04,72.83,72.83,"273,708"
15/05/2023,71.32,71.79,70.45,70.86,70.86,"232,328"
14/05/2023,70.04,71.69,69.41,71.11,71.11,"259,013"
11/05/2023,71.42,71.78,69.93,70.04,70.04,"275,435"
10/05/2023,72.77,73.50,70.63,70.87,70.87,"365,892"
09/05/2023,73.58,73.89,71.80,72.56,72.56,"351,506"
08/05/2023,72.84,73.78,71.34,73.71,73.71,"317,493"
07/05/2023,71.35,73.69,71.04,73.16,73.16,"290,076"
04/05/2023,68.70,71.81,68.48,71.34,71.34,"330,585"
03/05/2023,68.16,69.84,63.64,68.56,68.56,"412,495"
02/05/2023,71.56,71.79,67.95,68.60,68.60,"490,523"
01/05/2023,75.76,76.11,71.42,71.66,71.66,"417,820"
30/04/2023,76.66,76.69,74.53,75.66,75.66,"215,017"
27/04/2023,74.91,76.92,73.93,76.78,76.78,"328,399"
26/04/2023,74.38,75.28,74.03,74.76,74.76,"345,880"
25/04/2023,77.08,77.93,74.05,74.30,74.30,"497,778"
24/04/2023,78.74,79.07,76.50,77.07,77.07,"361,646"
23/04/2023,77.97,79.18,76.72,78.76,78.76,"306,720"
20/04/2023,77.13,78.39,76.72,77.87,77.87,"291,114"
19/04/2023,78.87,78.89,76.97,77.29,77.29,"361,413"
18/04/2023,80.92,81.18,78.46,79.16,79.16,"78,310"
17/04/2023,81.00,81.48,79.87,80.86,80.86,"96,290"
16/04/2023,82.48,82.71,80.47,80.83,80.83,"217,048"
13/04/2023,82.40,83.12,81.76,82.52,82.52,"275,129"
12/04/2023,83.22,83.44,82.11,82.16,82.16,"261,230"
11/04/2023,81.44,83.53,81.28,83.26,83.26,"356,133"
10/04/2023,79.88,81.59,79.37,81.53,81.53,"309,683"
09/04/2023,80.50,81.22,79.61,79.74,79.74,"264,906"
05/04/2023,80.37,80.96,79.65,80.70,80.70,-
04/04/2023,81.01,81.24,79.72,80.61,80.61,"254,974"
03/04/2023,80.44,81.81,79.61,80.71,80.71,"343,570"
02/04/2023,80.10,81.69,79.00,80.42,80.42,"547,126"
30/03/2023,74.37,75.72,73.77,75.67,75.67,"304,361"
29/03/2023,72.98,74.63,72.61,74.37,74.37,"269,743"
28/03/2023,73.61,74.37,72.76,72.97,72.97,"312,669"
27/03/2023,72.86,73.93,72.19,73.20,73.20,"328,472"
26/03/2023,69.42,73.10,69.13,72.81,72.81,"353,598"
23/03/2023,69.51,70.38,66.82,69.26,69.26,"380,852"
22/03/2023,69.95,71.67,69.14,69.96,69.96,"335,241"
21/03/2023,69.48,71.31,68.89,70.90,70.90,"337,639"
20/03/2023,67.62,69.60,66.77,69.33,69.33,"409,495"
19/03/2023,66.62,67.70,64.12,67.64,67.64,"76,873"
16/03/2023,68.26,69.64,65.17,66.74,66.74,"152,255"
15/03/2023,68.22,69.38,65.71,68.35,68.35,"327,120"
14/03/2023,71.56,72.56,65.65,67.61,67.61,"555,164"
13/03/2023,74.70,74.90,70.78,71.33,71.33,"432,858"
12/03/2023,76.60,77.47,72.30,74.80,74.80,"457,423"
10/03/2023,75.65,77.11,74.77,76.68,76.68,"371,834"
09/03/2023,76.50,78.06,75.43,75.72,75.72,"349,960"
08/03/2023,77.32,77.73,76.11,76.66,76.66,"335,930"
07/03/2023,80.50,80.94,77.06,77.58,77.58,"398,241"
06/03/2023,79.92,80.63,78.32,80.46,80.46,"292,351"
03/03/2023,77.89,79.90,75.83,79.68,79.68,"374,201"
02/03/2023,77.74,78.59,77.23,78.16,78.16,"260,331"
01/03/2023,76.85,77.85,76.12,77.69,77.69,"342,121"
28/02/2023,75.76,77.83,75.55,77.05,77.05,"300,093"
27/02/2023,76.42,76.82,74.99,75.68,75.68,"266,091"
24/02/2023,75.60,76.63,74.09,76.32,76.32,"329,254"
23/02/2023,73.92,75.99,73.83,75.39,75.39,"333,838"
22/02/2023,76.11,76.55,73.80,73.95,73.95,"332,018"
21/02/2023,76.53,77.51,75.69,76.16,76.16,"402,351"
17/02/2023,78.07,78.25,75.06,76.34,76.34,"93,267"
16/02/2023,78.54,79.54,77.92,78.49,78.49,"117,600"
15/02/2023,78.83,79.15,77.25,78.59,78.59,"264,486"
14/02/2023,79.06,79.61,77.46,79.06,79.06,"299,938"
